formula,original_formula,thermal_expansion,li ion conductivity
Li0.1500Al0.0333As0.0667Ti0.0000P0.1500O0.6000,Li3.0Al0.6667As1.3333Ti0.0P3O12,15.317582,
Li0.1500Al0.0417As0.0583Ti0.0000P0.1500O0.6000,Li3.0Al0.8333As1.1667Ti0.0P3O12,15.317582,
Li0.1500Al0.0500As0.0500Ti0.0000P0.1500O0.6000,Li3.0Al1.0As1.0Ti0.0P3O12,15.317582,
Li0.1500Al0.0583As0.0417Ti0.0000P0.1500O0.6000,Li3.0Al1.1667As0.8333Ti0.0P3O12,15.317582,
Li0.1500Al0.0667As0.0333Ti0.0000P0.1500O0.6000,Li3.0Al1.3333As0.6667Ti0.0P3O12,15.070612,
Li0.1500Al0.0750As0.0250Ti0.0000P0.1500O0.6000,Li3.0Al1.5As0.5Ti0.0P3O12,15.070612,
Li0.1500Al0.0833As0.0167Ti0.0000P0.1500O0.6000,Li3.0Al1.6667As0.3333Ti0.0P3O12,15.070612,
Li0.1500Al0.0917As0.0083Ti0.0000P0.1500O0.6000,Li3.0Al1.8333As0.1667Ti0.0P3O12,15.070612,
Li0.1500Al0.1000As0.0000Ti0.0000P0.1500O0.6000,Li3.0Al2.0As0.0Ti0.0P3O12,15.867943,
Li0.0556Al0.0000B0.0000Ti0.1111P0.1667O0.6667,Li1.0Al0.0B0.0Ti2.0P3O12,7.7087817,
Li0.0642Al0.0000B0.0092Ti0.1009P0.1651O0.6605,Li1.1667Al0.0B0.1667Ti1.8333P3O12,7.7087817,
Li0.0642Al0.0092B0.0000Ti0.1009P0.1651O0.6605,Li1.1667Al0.1667B0.0Ti1.8333P3O12,7.7087817,
Li0.0727Al0.0000B0.0182Ti0.0909P0.1636O0.6545,Li1.3333Al0.0B0.3333Ti1.6667P3O12,7.7087817,
Li0.0727Al0.0182B0.0000Ti0.0909P0.1636O0.6545,Li1.3333Al0.3333B0.0Ti1.6667P3O12,9.113234,
Li0.0811Al0.0000B0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.0B0.5Ti1.5P3O12,7.750805,
Li0.0811Al0.0090B0.0180Ti0.0811P0.1622O0.6486,Li1.5Al0.1667B0.3333Ti1.5P3O12,7.750805,1.051627155282929
Li0.0811Al0.0180B0.0090Ti0.0811P0.1622O0.6486,Li1.5Al0.3333B0.1667Ti1.5P3O12,9.155256,2.478845384905597
Li0.0811Al0.0270B0.0000Ti0.0811P0.1622O0.6486,Li1.5Al0.5B0.0Ti1.5P3O12,9.155256,
Li0.0893Al0.0000B0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.0B0.6667Ti1.3333P3O12,8.129335,
Li0.0893Al0.0089B0.0268Ti0.0714P0.1607O0.6429,Li1.6667Al0.1667B0.5Ti1.3333P3O12,8.129335,0.9037513624009913
Li0.0893Al0.0268B0.0089Ti0.0714P0.1607O0.6429,Li1.6667Al0.5B0.1667Ti1.3333P3O12,9.533785,3.380116102712831
Li0.0893Al0.0357B0.0000Ti0.0714P0.1607O0.6429,Li1.6667Al0.6667B0.0Ti1.3333P3O12,9.533785,
Li0.0973Al0.0000B0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.0B0.8333Ti1.1667P3O12,8.129335,
Li0.0973Al0.0177B0.0265Ti0.0619P0.1593O0.6372,Li1.8333Al0.3333B0.5Ti1.1667P3O12,9.533785,1.7675003725149114
Li0.0973Al0.0265B0.0177Ti0.0619P0.1593O0.6372,Li1.8333Al0.5B0.3333Ti1.1667P3O12,9.533785,2.737716163170003
Li0.0973Al0.0442B0.0000Ti0.0619P0.1593O0.6372,Li1.8333Al0.8333B0.0Ti1.1667P3O12,9.533785,
Li0.1053Al0.0000B0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.0B1.0Ti1.0P3O12,8.129335,
Li0.1053Al0.0088B0.0439Ti0.0526P0.1579O0.6316,Li2.0Al0.1667B0.8333Ti1.0P3O12,8.129335,0.7708799177843338
Li0.1053Al0.0175B0.0351Ti0.0526P0.1579O0.6316,Li2.0Al0.3333B0.6667Ti1.0P3O12,8.129335,1.5881490384963821
Li0.1053Al0.0263B0.0263Ti0.0526P0.1579O0.6316,Li2.0Al0.5B0.5Ti1.0P3O12,9.533785,2.400095479723283
Li0.1053Al0.0351B0.0175Ti0.0526P0.1579O0.6316,Li2.0Al0.6667B0.3333Ti1.0P3O12,9.533785,3.2757483127532088
Li0.1053Al0.0439B0.0088Ti0.0526P0.1579O0.6316,Li2.0Al0.8333B0.1667Ti1.0P3O12,9.533785,4.624502834769247
Li0.1053Al0.0526B0.0000Ti0.0526P0.1579O0.6316,Li2.0Al1.0B0.0Ti1.0P3O12,9.533785,
Li0.1130Al0.0000B0.0609Ti0.0435P0.1565O0.6261,Li2.1667Al0.0B1.1667Ti0.8333P3O12,8.129335,
Li0.1130Al0.0087B0.0522Ti0.0435P0.1565O0.6261,Li2.1667Al0.1667B1.0Ti0.8333P3O12,8.129335,0.5368022048789846
Li0.1130Al0.0261B0.0348Ti0.0435P0.1565O0.6261,Li2.1667Al0.5B0.6667Ti0.8333P3O12,9.533785,1.3500834173641891
Li0.1130Al0.0348B0.0261Ti0.0435P0.1565O0.6261,Li2.1667Al0.6667B0.5Ti0.8333P3O12,9.533785,1.7043416372988507
Li0.1130Al0.0522B0.0087Ti0.0435P0.1565O0.6261,Li2.1667Al1.0B0.1667Ti0.8333P3O12,9.533785,0.5110127322157633
Li0.1130Al0.0609B0.0000Ti0.0435P0.1565O0.6261,Li2.1667Al1.1667B0.0Ti0.8333P3O12,9.286814,
Li0.1207Al0.0000B0.0690Ti0.0345P0.1552O0.6207,Li2.3333Al0.0B1.3333Ti0.6667P3O12,8.129335,
Li0.1207Al0.0172B0.0517Ti0.0345P0.1552O0.6207,Li2.3333Al0.3333B1.0Ti0.6667P3O12,8.129335,1.1584151561724496
Li0.1207Al0.0259B0.0431Ti0.0345P0.1552O0.6207,Li2.3333Al0.5B0.8333Ti0.6667P3O12,9.533785,1.2106298808636582
Li0.1207Al0.0431B0.0259Ti0.0345P0.1552O0.6207,Li2.3333Al0.8333B0.5Ti0.6667P3O12,9.533785,1.830981127860221
Li0.1207Al0.0517B0.0172Ti0.0345P0.1552O0.6207,Li2.3333Al1.0B0.3333Ti0.6667P3O12,9.533785,0.8112071408689053
Li0.1207Al0.0690B0.0000Ti0.0345P0.1552O0.6207,Li2.3333Al1.3333B0.0Ti0.6667P3O12,9.286814,
Li0.1282Al0.0000B0.0769Ti0.0256P0.1538O0.6154,Li2.5Al0.0B1.5Ti0.5P3O12,8.129335,
Li0.1282Al0.0085B0.0684Ti0.0256P0.1538O0.6154,Li2.5Al0.1667B1.3333Ti0.5P3O12,8.129335,0.7014636989201034
Li0.1282Al0.0171B0.0598Ti0.0256P0.1538O0.6154,Li2.5Al0.3333B1.1667Ti0.5P3O12,8.129335,1.3076946229942494
Li0.1282Al0.0256B0.0513Ti0.0256P0.1538O0.6154,Li2.5Al0.5B1.0Ti0.5P3O12,9.533785,1.7328128105565606
Li0.1282Al0.0342B0.0427Ti0.0256P0.1538O0.6154,Li2.5Al0.6667B0.8333Ti0.5P3O12,9.533785,1.3327390746180225
Li0.1282Al0.0427B0.0342Ti0.0256P0.1538O0.6154,Li2.5Al0.8333B0.6667Ti0.5P3O12,9.533785,1.5953511950836936
Li0.1282Al0.0513B0.0256Ti0.0256P0.1538O0.6154,Li2.5Al1.0B0.5Ti0.5P3O12,9.533785,1.150817734769522
